name	chrom	txStart	txEnd
ENST00000417636.2	chr1	586277	588453
ENST00000419394.2	chr1	586944	720194
ENST00000423796.1	chr1	587628	594768
ENST00000450696.1	chr1	587667	594574
ENST00000440196.3	chr1	594190	633129
ENST00000641296.1	chr1	594197	631204
ENST00000357876.6	chr1	594307	598551
ENST00000635509.2	chr1	594307	827769
ENST00000634337.2	chr1	594307	827796
ENST00000648019.1	chr1	594457	733064
ENST00000440200.5	chr1	601435	720200
ENST00000452176.2	chr1	627376	631150
ENST00000416931.1	chr1	629061	629433
ENST00000457540.1	chr1	629639	630683
ENST00000414273.1	chr1	631073	632616
ENST00000621981.1	chr1	632324	632413
ENST00000427426.1	chr1	632756	633438
ENST00000467115.1	chr1	633534	633741
ENST00000514057.1	chr1	633695	634376
ENST00000416718.2	chr1	634375	634922
ENST00000438434.2	chr1	674841	675265
ENST00000332831.4	chr1	685678	686673
ENST00000441245.5	chr1	701935	720150
ENST00000414688.6	chr1	711866	732212
ENST00000636676.1	chr1	720023	720206
ENST00000447954.2	chr1	720052	724564
ENST00000440782.3	chr1	722091	724903
ENST00000506640.2	chr1	725884	778626
ENST00000411249.1	chr1	758232	758336
ENST00000422528.1	chr1	760910	761989
ENST00000428504.2	chr1	764722	774280
ENST00000434264.6	chr1	778769	784690
ENST00000457084.1	chr1	778781	782191
ENST00000589899.5	chr1	778929	784655
ENST00000609830.1	chr1	778936	784429
ENST00000429505.5	chr1	779055	804875
ENST00000644482.1	chr1	781936	782050
ENST00000585826.1	chr1	784369	784759
ENST00000592547.1	chr1	784369	784977
ENST00000586928.5	chr1	784369	786866
ENST00000585745.5	chr1	784369	795513
ENST00000585768.5	chr1	784369	801876
ENST00000590848.5	chr1	784369	804832
ENST00000591440.5	chr1	784369	805127
ENST00000587530.5	chr1	784369	805270
ENST00000593022.5	chr1	784369	806459
ENST00000589531.5	chr1	784369	807314
ENST00000588951.5	chr1	784369	809729
ENST00000586288.1	chr1	784395	807321
ENST00000591702.1	chr1	785799	787672
ENST00000447500.4	chr1	800878	817712
ENST00000443772.1	chr1	804798	807465
ENST00000412115.1	chr1	804931	810060
ENST00000590817.3	chr1	805798	810161
ENST00000326734.2	chr1	817370	819837
ENST00000624927.3	chr1	825137	849592
ENST00000473798.1	chr1	826205	827522
ENST00000623808.3	chr1	826831	852225
ENST00000445118.6	chr1	827607	859446
ENST00000448975.6	chr1	827656	852014
ENST00000610067.5	chr1	827660	851987
ENST00000608189.4	chr1	827660	852090
ENST00000441765.5	chr1	827666	841738
ENST00000609139.5	chr1	827668	851998
ENST00000449005.5	chr1	827672	853626
ENST00000416570.5	chr1	827698	852766
ENST00000623070.3	chr1	827699	853522
ENST00000609009.5	chr1	827720	852090
ENST00000622921.1	chr1	827820	852515
ENST00000415295.1	chr1	831604	842020
ENST00000425657.1	chr1	851347	852752
ENST00000446136.1	chr1	868070	876903
ENST00000432963.1	chr1	868239	870201
ENST00000427857.1	chr1	868402	876802
ENST00000415481.1	chr1	873291	874349
ENST00000635557.1	chr1	874528	877234
ENST00000607769.1	chr1	904833	915976
ENST00000448179.1	chr1	911434	914948
ENST00000398216.2	chr1	914170	914971
ENST00000609207.1	chr1	916864	921016
ENST00000417705.1	chr1	916869	919692
ENST00000432961.1	chr1	917369	918534
ENST00000420190.6	chr1	923927	939291
ENST00000437963.5	chr1	925149	935793
ENST00000342066.7	chr1	925737	944575
ENST00000616016.4	chr1	925740	944581
ENST00000616125.4	chr1	925740	944581
ENST00000617307.4	chr1	925740	944581
ENST00000618181.4	chr1	925740	944581
ENST00000618323.4	chr1	925740	944581
ENST00000618779.4	chr1	925740	944581
ENST00000620200.4	chr1	925740	944581
ENST00000622503.4	chr1	925740	944581
ENST00000341065.8	chr1	930311	944575
ENST00000455979.1	chr1	939274	944259
ENST00000478729.1	chr1	940345	942173
ENST00000474461.1	chr1	941075	942994
ENST00000466827.1	chr1	942102	942802
ENST00000464948.1	chr1	942165	942892
ENST00000483767.5	chr1	944203	947060
ENST00000327044.6	chr1	944203	959290
ENST00000477976.5	chr1	944204	958458
ENST00000496938.1	chr1	945318	945562
ENST00000487214.1	chr1	954425	959309
ENST00000469563.1	chr1	958245	959256
ENST00000338591.7	chr1	960586	965715
ENST00000622660.1	chr1	960638	965602
ENST00000463212.1	chr1	961448	962478
ENST00000466300.1	chr1	962726	964530
ENST00000481067.1	chr1	963551	964164
ENST00000379410.7	chr1	966496	975108
ENST00000379407.7	chr1	966501	975008
ENST00000379409.6	chr1	966501	975008
ENST00000480267.1	chr1	970874	971523
ENST00000491024.1	chr1	973511	975865
ENST00000341290.6	chr1	975203	982093
ENST00000479361.1	chr1	975204	976641
ENST00000433179.3	chr1	975204	981029
ENST00000606034.1	chr1	995965	998051
ENST00000428771.6	chr1	998961	1000172
ENST00000304952.10	chr1	998963	1000111
ENST00000481869.1	chr1	998965	1000096
ENST00000484667.2	chr1	998969	999981
ENST00000624697.4	chr1	1001137	1014540
ENST00000624652.1	chr1	1001144	1014435
ENST00000423619.2	chr1	1008075	1008229
ENST00000458555.1	chr1	1011996	1013193
ENST00000379389.4	chr1	1013422	1014540
ENST00000649529.1	chr1	1013496	1014540
ENST00000379370.6	chr1	1020122	1056116
ENST00000620552.4	chr1	1020122	1056118
ENST00000477585.1	chr1	1034105	1040725
ENST00000469403.1	chr1	1034866	1041397
ENST00000479707.1	chr1	1045398	1046349
ENST00000466223.1	chr1	1047200	1047865
ENST00000478677.1	chr1	1047474	1047838
ENST00000492947.1	chr1	1048528	1049394
ENST00000419249.2	chr1	1050507	1053950
ENST00000461111.1	chr1	1051985	1056112
ENST00000418300.1	chr1	1055032	1056116
ENST00000427998.5	chr1	1059733	1066456
ENST00000394517.6	chr1	1061019	1066005
ENST00000442292.2	chr1	1062207	1063288
ENST00000456409.5	chr1	1063078	1066456
ENST00000412397.2	chr1	1063078	1069355
ENST00000433695.1	chr1	1064494	1066274
ENST00000451054.1	chr1	1064517	1066441
ENST00000453464.2	chr1	1070965	1074307
ENST00000379339.5	chr1	1081817	1116081
ENST00000465822.5	chr1	1081822	1092077
ENST00000379325.7	chr1	1081822	1116095
ENST00000421241.6	chr1	1081822	1116098
ENST00000487177.5	chr1	1081824	1087636
ENST00000467751.5	chr1	1081824	1116089
ENST00000477196.5	chr1	1081824	1116089
ENST00000464905.1	chr1	1082145	1084072
ENST00000379320.5	chr1	1082234	1092174
ENST00000379319.5	chr1	1082699	1106127
ENST00000434641.5	chr1	1082915	1116095
ENST00000482816.5	chr1	1083925	1116243
ENST00000462097.5	chr1	1087138	1116356
ENST00000473600.1	chr1	1087140	1092294
ENST00000475119.5	chr1	1087189	1116361
ENST00000442117.5	chr1	1087574	1092813
ENST00000427787.5	chr1	1090405	1092813
ENST00000472741.5	chr1	1091045	1116087
ENST00000480643.1	chr1	1091499	1116089
ENST00000648183.1	chr1	1097584	1104598
ENST00000416774.1	chr1	1137016	1144056
ENST00000384997.3	chr1	1167103	1167198
ENST00000384875.3	chr1	1167862	1167952
ENST00000362106.1	chr1	1169004	1169087
ENST00000606993.1	chr1	1169356	1170343
ENST00000379317.1	chr1	1173055	1179555
ENST00000506177.1	chr1	1173883	1175034
ENST00000379290.5	chr1	1173902	1197935
ENST00000379289.5	chr1	1173905	1197933
ENST00000379288.3	chr1	1179696	1185864
ENST00000460998.1	chr1	1180483	1183927
ENST00000514695.1	chr1	1180536	1180884
ENST00000486379.1	chr1	1185035	1197475
ENST00000328596.10	chr1	1203507	1206571
ENST00000379268.6	chr1	1203510	1206691
ENST00000486728.5	chr1	1203843	1205680
ENST00000379265.5	chr1	1203843	1206571
ENST00000379236.3	chr1	1211325	1214132
ENST00000497869.5	chr1	1211339	1214138
ENST00000453580.1	chr1	1212018	1213498
ENST00000360001.10	chr1	1216907	1232001
ENST00000263741.11	chr1	1216930	1232031
ENST00000465727.5	chr1	1216930	1232031
ENST00000494748.1	chr1	1216931	1221351
ENST00000478938.1	chr1	1216933	1220293
ENST00000403997.2	chr1	1218522	1228596
ENST00000459994.2	chr1	1227271	1231968
ENST00000647651.1	chr1	1232225	1235041
ENST00000379198.4	chr1	1232258	1235041
ENST00000462849.1	chr1	1242445	1243463
ENST00000478606.1	chr1	1242448	1243158
ENST00000330388.2	chr1	1242452	1246722
ENST00000468365.1	chr1	1243265	1244418
ENST00000486627.1	chr1	1243980	1244724
ENST00000565563.1	chr1	1249776	1251334
ENST00000450390.6	chr1	1253908	1273853
ENST00000347370.6	chr1	1253913	1273854
ENST00000349431.10	chr1	1254469	1273885
ENST00000400929.6	chr1	1254984	1273855
ENST00000464036.5	chr1	1255047	1273864
ENST00000360466.6	chr1	1255163	1273726
ENST00000400930.8	chr1	1255177	1273833
ENST00000467339.1	chr1	1255263	1256335
ENST00000473215.5	chr1	1255267	1273849
ENST00000435198.5	chr1	1255394	1273844
ENST00000509720.5	chr1	1255438	1273827
ENST00000491779.5	chr1	1256048	1273790
ENST00000466752.5	chr1	1256991	1273815
ENST00000503294.5	chr1	1257010	1273833
ENST00000477894.5	chr1	1257048	1273854
ENST00000471154.1	chr1	1257121	1263569
ENST00000422076.5	chr1	1257226	1273837
ENST00000502382.1	chr1	1257269	1273854
ENST00000461142.3	chr1	1262852	1273837
ENST00000488418.2	chr1	1267861	1273471
ENST00000434139.1	chr1	1275222	1280420
ENST00000453732.1	chr1	1275236	1279393
ENST00000379116.9	chr1	1280435	1292019
ENST00000379101.8	chr1	1280471	1291373
ENST00000338555.6	chr1	1280587	1292024
ENST00000400928.7	chr1	1281223	1292029
ENST00000470022.1	chr1	1281924	1286168
ENST00000325425.12	chr1	1282108	1292024
ENST00000467651.2	chr1	1282163	1285597
ENST00000379099.3	chr1	1287108	1290943
ENST00000354700.9	chr1	1292375	1308018
ENST00000492936.5	chr1	1292389	1305929
ENST00000467278.5	chr1	1292869	1298955
ENST00000353662.4	chr1	1293563	1303260
ENST00000470659.1	chr1	1294498	1295008
ENST00000613751.1	chr1	1296109	1296170
ENST00000379037.6	chr1	1296435	1298265
ENST00000476572.1	chr1	1296465	1299617
ENST00000493992.1	chr1	1297836	1298241
ENST00000472541.5	chr1	1298743	1309609
ENST00000354980.7	chr1	1300195	1307821
ENST00000478065.5	chr1	1301447	1304901
ENST00000479108.5	chr1	1301855	1307830
ENST00000438966.1	chr1	1303209	1307818
ENST00000379031.9	chr1	1308566	1311677
ENST00000470520.5	chr1	1308610	1311028
ENST00000463758.1	chr1	1308787	1309840
ENST00000467712.1	chr1	1308820	1311069
ENST00000493657.1	chr1	1309234	1311676
ENST00000470030.6	chr1	1311584	1315433
ENST00000540437.5	chr1	1311584	1324687
ENST00000545578.5	chr1	1311584	1324687
ENST00000618806.4	chr1	1311584	1324687
ENST00000620829.4	chr1	1311584	1324687
ENST00000435064.5	chr1	1311596	1324691
ENST00000497304.6	chr1	1311597	1312700
ENST00000323275.10	chr1	1311599	1324621
ENST00000411962.5	chr1	1311600	1324673
ENST00000462432.5	chr1	1311601	1317450
ENST00000478641.5	chr1	1311605	1315170
ENST00000421495.6	chr1	1311605	1324637
ENST00000458452.7	chr1	1311605	1324650
ENST00000419704.5	chr1	1311605	1324653
ENST00000532772.5	chr1	1311626	1324628
ENST00000450926.6	chr1	1311818	1324670
ENST00000527098.5	chr1	1311822	1324666
ENST00000485710.5	chr1	1312079	1313825
ENST00000461514.6	chr1	1312259	1313780
ENST00000525164.5	chr1	1312264	1313765
ENST00000528879.5	chr1	1312283	1324648
ENST00000525769.5	chr1	1312285	1313750
ENST00000620702.1	chr1	1312501	1312566
ENST00000531377.5	chr1	1312786	1319346
ENST00000527383.5	chr1	1312938	1315608
ENST00000531292.5	chr1	1313058	1314664
ENST00000467408.6	chr1	1313545	1315601
ENST00000434694.6	chr1	1313744	1324630
ENST00000531020.1	chr1	1314135	1315141
ENST00000533916.5	chr1	1314312	1315697
ENST00000488042.6	chr1	1314412	1324629
ENST00000526797.5	chr1	1314825	1324658
ENST00000526332.5	chr1	1314826	1324660
ENST00000430786.5	chr1	1314877	1324625
ENST00000527719.5	chr1	1314915	1324671
ENST00000530031.5	chr1	1314917	1324659
ENST00000526113.1	chr1	1315003	1324637
ENST00000526904.5	chr1	1315145	1324658
ENST00000525603.1	chr1	1315559	1320905
ENST00000444968.1	chr1	1317580	1318689
ENST00000429572.5	chr1	1318678	1324666
ENST00000498173.2	chr1	1318680	1324687
ENST00000496353.1	chr1	1318696	1324611
ENST00000493534.6	chr1	1319059	1324658
ENST00000534345.5	chr1	1319305	1324671
ENST00000532952.5	chr1	1319346	1324642
ENST00000490853.5	chr1	1319380	1324649
ENST00000531019.5	chr1	1319380	1324660
ENST00000498476.6	chr1	1319402	1324660
ENST00000470679.3	chr1	1319469	1324603
ENST00000525285.1	chr1	1320477	1324613
ENST00000530233.1	chr1	1322770	1324658
ENST00000464957.1	chr1	1324755	1327994
ENST00000343938.8	chr1	1324766	1328897
ENST00000488011.1	chr1	1325240	1327471
ENST00000339381.5	chr1	1331313	1335306
ENST00000378891.9	chr1	1335275	1349112
ENST00000378888.9	chr1	1335275	1349350
ENST00000610709.2	chr1	1335278	1349135
ENST00000632445.1	chr1	1336411	1339422
ENST00000631679.1	chr1	1337022	1340052
ENST00000634054.1	chr1	1338333	1340190
ENST00000633096.1	chr1	1339491	1340365
ENST00000616525.1	chr1	1339649	1339708
ENST00000472445.1	chr1	1341769	1348955
ENST00000474033.5	chr1	1352688	1354264
ENST00000342753.8	chr1	1352688	1358794
ENST00000309212.10	chr1	1352690	1358535
ENST00000445648.5	chr1	1352691	1358543
ENST00000477278.3	chr1	1352691	1361777
ENST00000473097.5	chr1	1353191	1354474
ENST00000478517.5	chr1	1353214	1354247
ENST00000476718.1	chr1	1353438	1355016
ENST00000464351.1	chr1	1355003	1355512
ENST00000460473.1	chr1	1355082	1355512
ENST00000338370.7	chr1	1373729	1375157
ENST00000338338.9	chr1	1373729	1375495
ENST00000321751.9	chr1	1373731	1375169
ENST00000378853.3	chr1	1373736	1375173
ENST00000489799.1	chr1	1374243	1375144
ENST00000496905.1	chr1	1374437	1375159
ENST00000435351.2	chr1	1378665	1379032
ENST00000480479.5	chr1	1385710	1391096
ENST00000482621.5	chr1	1386481	1398304
ENST00000463260.5	chr1	1386494	1388713
ENST00000400809.7	chr1	1386494	1399312
ENST00000496007.5	chr1	1386498	1399309
ENST00000482365.5	chr1	1386501	1391754
ENST00000408952.8	chr1	1386502	1390943
ENST00000481223.6	chr1	1386707	1399311
ENST00000418865.6	chr1	1386712	1392525
ENST00000505849.5	chr1	1387121	1391649
ENST00000488340.5	chr1	1387231	1399328
ENST00000492998.5	chr1	1387542	1390900
ENST00000469113.5	chr1	1388022	1392716
ENST00000480646.1	chr1	1389345	1391004
ENST00000471930.5	chr1	1391152	1398366
ENST00000408918.8	chr1	1392287	1399317
ENST00000473872.5	chr1	1393079	1398287
ENST00000425598.2	chr1	1393443	1399325
ENST00000463895.1	chr1	1395184	1398287
ENST00000497013.1	chr1	1395436	1398956
ENST00000448629.5	chr1	1399521	1401087
ENST00000444362.2	chr1	1399526	1402046
ENST00000418833.2	chr1	1399529	1402026
ENST00000576232.1	chr1	1399551	1400608
ENST00000570344.1	chr1	1399561	1400544
ENST00000447725.2	chr1	1399571	1402006
ENST00000572242.1	chr1	1399805	1402033
ENST00000453521.1	chr1	1400418	1402046
ENST00000344843.11	chr1	1401907	1407313
ENST00000493287.5	chr1	1401912	1406307
ENST00000487659.1	chr1	1401912	1407268
ENST00000492508.1	chr1	1402181	1406998
ENST00000482352.1	chr1	1405108	1407290
ENST00000582431.2	chr1	1405459	1405752
ENST00000477686.1	chr1	1406248	1407235
ENST00000607307.1	chr1	1409095	1410618
ENST00000520296.5	chr1	1418419	1421444
ENST00000427211.3	chr1	1418419	1421769
ENST00000537107.5	chr1	1418421	1421444
ENST00000454272.2	chr1	1418879	1421091
ENST00000442470.1	chr1	1419137	1421260
ENST00000428932.1	chr1	1420244	1422691
ENST00000378821.3	chr1	1426127	1427787
ENST00000430109.1	chr1	1430538	1434573
ENST00000434150.1	chr1	1430549	1431843
ENST00000454562.1	chr1	1430549	1434488
ENST00000417917.1	chr1	1430663	1434520
ENST00000495558.1	chr1	1434860	1437459
ENST00000338660.5	chr1	1435522	1440765
ENST00000476993.1	chr1	1435670	1442882
ENST00000471398.1	chr1	1435734	1437177
ENST00000378785.6	chr1	1449688	1470158
ENST00000475091.2	chr1	1449913	1455902
ENST00000484537.2	chr1	1462482	1468663
ENST00000308647.7	chr1	1471768	1496202
ENST00000472194.6	chr1	1478025	1497848
ENST00000378736.3	chr1	1479048	1482662
ENST00000485748.5	chr1	1483484	1496202
ENST00000474481.1	chr1	1484568	1496201
ENST00000641974.1	chr1	1503249	1509452
ENST00000641679.1	chr1	1503581	1509351
ENST00000378756.7	chr1	1512150	1534685
ENST00000378755.9	chr1	1512174	1534685
ENST00000339113.8	chr1	1512529	1534685
ENST00000536055.5	chr1	1512529	1534687
ENST00000439513.1	chr1	1517069	1517775
ENST00000429957.1	chr1	1517620	1522780
ENST00000400830.3	chr1	1524272	1529331
ENST00000378733.8	chr1	1535173	1540357
ENST00000425828.1	chr1	1535206	1540453
ENST00000624426.1	chr1	1539055	1540350
ENST00000291386.3	chr1	1541672	1574869
ENST00000378726.1	chr1	1541673	1546487
ENST00000378725.3	chr1	1544637	1574587
ENST00000359060.5	chr1	1560847	1574584
ENST00000647566.1	chr1	1574101	1575879
ENST00000366221.3	chr1	1574974	1577075
ENST00000621860.1	chr1	1583509	1583909
ENST00000422725.3	chr1	1598011	1600096
ENST00000607222.1	chr1	1613757	1615795
ENST00000520777.5	chr1	1615414	1630605
ENST00000355826.9	chr1	1615420	1630610
ENST00000518681.5	chr1	1615436	1630605
ENST00000505820.6	chr1	1615442	1630605
ENST00000479659.5	chr1	1615453	1630604
ENST00000489635.5	chr1	1615495	1630604
ENST00000511502.5	chr1	1615513	1630604
ENST00000477990.1	chr1	1615515	1619210
ENST00000514363.1	chr1	1615529	1625040
ENST00000487053.5	chr1	1615878	1630604
ENST00000502470.5	chr1	1615886	1624832
ENST00000378712.5	chr1	1615904	1630604
ENST00000507082.1	chr1	1615913	1617898
ENST00000463492.1	chr1	1615967	1617323
ENST00000510793.5	chr1	1616273	1624901
ENST00000504599.5	chr1	1616309	1630604
ENST00000507229.5	chr1	1616310	1629163
ENST00000503789.5	chr1	1617407	1624821
ENST00000378708.5	chr1	1617559	1630604
ENST00000506488.5	chr1	1617576	1630532
ENST00000512004.1	chr1	1623121	1624859
ENST00000508455.1	chr1	1623580	1624209
ENST00000514234.5	chr1	1623801	1630604
ENST00000467597.1	chr1	1624743	1625799
ENST00000508148.1	chr1	1625086	1625763
ENST00000486072.1	chr1	1625566	1626929
ENST00000505370.1	chr1	1626859	1627830
ENST00000473511.5	chr1	1627459	1629552
ENST00000464570.1	chr1	1627521	1629270
ENST00000483015.1	chr1	1628488	1630589
ENST00000511910.1	chr1	1629105	1630603
ENST00000470373.1	chr1	1629472	1630605
ENST00000356026.9	chr1	1632094	1634654
ENST00000472264.1	chr1	1632162	1633120
ENST00000512731.5	chr1	1632177	1634474
ENST00000378675.7	chr1	1632178	1634654
ENST00000479814.5	chr1	1632782	1634651
ENST00000435358.5	chr1	1633202	1634568
ENST00000503792.1	chr1	1633202	1634568
ENST00000489782.1	chr1	1633678	1634604
ENST00000486400.1	chr1	1634001	1634608
ENST00000490017.1	chr1	1634239	1635263
ENST00000341832.10	chr1	1635226	1659012
ENST00000407249.7	chr1	1635586	1659012
ENST00000340677.9	chr1	1635737	1659012
ENST00000611150.3	chr1	1635737	1659012
ENST00000615951.4	chr1	1635737	1659012
ENST00000626918.2	chr1	1635737	1659012
ENST00000629289.2	chr1	1635737	1659012
ENST00000629312.2	chr1	1635737	1659012
ENST00000341028.8	chr1	1641771	1658972
ENST00000607013.1	chr1	1659324	1662602
ENST00000614300.4	chr1	1659528	1692724
ENST00000617444.4	chr1	1661477	1692644
ENST00000611123.1	chr1	1661478	1692728
ENST00000480991.1	chr1	1663781	1670139
ENST00000481276.1	chr1	1670424	1692709
ENST00000596308.1	chr1	1671989	1673411
ENST00000597891.1	chr1	1673274	1674397
ENST00000234610.5	chr1	1699941	1701782
ENST00000356200.7	chr1	1702729	1722831
ENST00000598846.1	chr1	1702735	1737688
ENST00000463652.5	chr1	1702765	1704253
ENST00000356937.7	chr1	1702880	1721655
ENST00000378638.6	chr1	1702880	1722831
ENST00000509982.5	chr1	1702880	1722832
ENST00000357760.6	chr1	1702880	1724324
ENST00000358779.9	chr1	1702880	1724324
ENST00000378633.5	chr1	1702880	1724324
ENST00000404249.7	chr1	1702880	1724324
ENST00000460465.5	chr1	1702880	1724324
ENST00000478901.1	chr1	1703087	1704116
ENST00000468397.1	chr1	1703087	1704555
ENST00000491311.1	chr1	1703603	1704602
ENST00000495016.5	chr1	1703867	1704585
ENST00000468800.5	chr1	1704048	1707561
ENST00000464748.1	chr1	1704098	1704760
ENST00000489300.1	chr1	1704242	1705024
ENST00000492390.5	chr1	1704349	1708876
ENST00000474916.1	chr1	1704607	1708231
ENST00000479362.1	chr1	1716349	1724032
ENST00000498810.1	chr1	1719165	1721879
ENST00000487462.1	chr1	1722465	1724019
ENST00000401096.2	chr1	1722707	1724274
ENST00000577672.1	chr1	1724511	1735973
ENST00000417099.1	chr1	1724614	1731904
ENST00000647043.1	chr1	1724837	1745919
ENST00000355439.7	chr1	1724839	1745999
ENST00000643905.1	chr1	1727385	1745999
ENST00000475229.2	chr1	1731827	1735620
ENST00000246421.4	chr1	1732241	1745992
ENST00000424604.1	chr1	1732553	1735975
ENST00000643943.1	chr1	1734689	1739557
ENST00000418950.2	chr1	1735816	1737251
ENST00000341426.9	chr1	1751231	1778470
ENST00000341991.7	chr1	1751231	1778790
ENST00000378625.5	chr1	1751231	1780069
ENST00000342348.9	chr1	1752470	1758575
ENST00000498806.1	chr1	1752974	1754383
ENST00000469045.5	chr1	1754060	1757268
ENST00000480499.5	chr1	1754162	1756327
ENST00000497747.5	chr1	1754164	1754866
ENST00000477235.5	chr1	1754170	1757024
ENST00000489538.1	chr1	1754180	1756608
ENST00000497615.1	chr1	1754202	1754896
ENST00000497186.5	chr1	1754342	1757228
ENST00000492845.6	chr1	1756003	1779962
ENST00000492768.5	chr1	1756587	1778419
ENST00000460602.5	chr1	1756770	1778419
ENST00000464373.1	chr1	1761664	1778420
ENST00000480542.1	chr1	1779156	1780457
ENST00000610897.4	chr1	1785284	1891117
ENST00000615252.4	chr1	1785284	1891117
ENST00000378609.8	chr1	1785285	1891056
ENST00000461893.5	chr1	1787986	1794197
ENST00000471354.1	chr1	1789060	1818386
ENST00000439272.6	chr1	1790564	1890836
ENST00000434686.6	chr1	1793244	1890401
ENST00000437146.1	chr1	1804525	1832285
ENST00000607589.1	chr1	1824987	1825554
ENST00000472614.2	chr1	1824987	1890966
ENST00000412228.1	chr1	1891470	1892658
ENST00000307786.7	chr1	1914826	1917294
ENST00000378604.3	chr1	1915107	1917294
ENST00000482402.1	chr1	1915265	1917296
ENST00000462293.1	chr1	1915408	1917071
ENST00000378602.3	chr1	1917589	1918797
ENST00000310991.7	chr1	1917590	1919273
ENST00000378598.4	chr1	1917844	1919258
ENST00000470931.2	chr1	1917936	1919270
ENST00000602604.1	chr1	1918098	1919269
ENST00000416272.1	chr1	1918385	1919269
ENST00000642590.1	chr1	1921950	1959974
ENST00000493964.5	chr1	1921950	2003837
ENST00000464311.5	chr1	1921956	1927929
ENST00000412120.2	chr1	1922082	1927403
ENST00000493316.5	chr1	1946347	1960106
ENST00000270720.11	chr1	1953312	2003837
ENST00000468610.5	chr1	1955147	2003714
ENST00000461752.3	chr1	1955710	1960108
ENST00000378592.1	chr1	1983670	2003837
ENST00000378590.4	chr1	1987961	1990929
ENST00000443930.1	chr1	2013212	2015530
ENST00000378585.6	chr1	2019297	2030758
ENST00000638411.1	chr1	2019328	2030079
ENST00000639045.1	chr1	2019359	2030012
ENST00000640067.1	chr1	2019359	2030407
ENST00000638604.1	chr1	2019359	2030741
ENST00000638771.1	chr1	2019378	2030365
ENST00000639935.1	chr1	2019386	2025792
ENST00000640949.1	chr1	2019403	2030656
ENST00000640030.1	chr1	2019483	2030717
ENST00000640423.1	chr1	2022314	2030086
ENST00000639625.1	chr1	2023560	2024223
ENST00000639777.1	chr1	2024269	2030712
ENST00000640981.1	chr1	2025345	2029714
ENST00000638763.1	chr1	2025525	2029185
ENST00000639070.1	chr1	2026527	2030515
ENST00000640892.1	chr1	2026894	2030292
ENST00000640317.1	chr1	2027252	2030152
ENST00000638804.1	chr1	2027628	2030008
ENST00000640688.1	chr1	2028918	2030717
ENST00000445600.1	chr1	2049202	2049651
ENST00000449154.1	chr1	2049303	2050070
